title,link,text,buy/sell,fund,target_price,stock,date
"Buy Voltas, target price Rs 1005: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-voltas-target-price-rs-1005-bnp-paribas-securities/articleshow/99839533.cms,"Promoters held 30.3 per cent stake in the company as of 31-Mar-2023, while FIIs owned 20.58 per cent, DIIs 32.69 per cent.",Buy, BNP Paribas Securities,1005,Voltas,2023-04-28
"Buy UTI Asset Management Company, target price Rs 770: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-uti-asset-management-company-target-price-rs-770-hdfc-securities/articleshow/99839198.cms,The brokerage expects the company to deliver 6%/12% revenue/operating profit CAGR over FY23- 25E on the back of healthy AUM growth and marginal cost rationalisation.,Buy, HDFC Securities,770,UTI Asset Management Company,2023-04-28
"Sell Shoppers Stop, target price Rs 520: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/sell-shoppers-stop-target-price-rs-520-hdfc-securities/articleshow/99838855.cms,"Promoters held 65.46 per cent stake in the company as of 31-Mar-2023, while FIIs owned 6.82 per cent, DIIs 20.81 per cent.",Sell, HDFC Securities,520, Shoppers Stop,2023-04-28
"Buy Kotak Mahindra Bank, target price Rs 1936 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-kotak-mahindra-bank-target-price-rs-1936-icici-direct/articleshow/99836176.cms,"Promoters held 25.95 per cent stake in the company as of 31-Mar-2023, while FIIs owned 39.42 per cent, DIIs 21.08 per cent.",Buy, ICICI Direct,1936,Kotak Mahindra Bank,2023-04-28
"Buy Mahindra & Mahindra, target price Rs 1243: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-amp-mahindra-target-price-rs-1243-icici-direct/articleshow/99835202.cms,"Price on verge of breakout after consolidating above 20 day EMA, signalingfurther upsides in coming sessions",Buy, ICICI Direct,1243,Mahindra & Mahindra,2023-04-28
"Buy Infosys, target price Rs 1600: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-infosys-target-price-rs-1600-icici-direct/articleshow/99835066.cms,Infosys key Products/Revenue Segments include Software Development Charges and Software Products for the year ending 31-Mar-2022.,Buy, ICICI Direct,1600,Infosys,2023-04-28
"Buy Motilal Oswal Financial Services, target price Rs 790: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-motilal-oswal-financial-services-target-price-rs-790-icici-direct/articleshow/99834105.cms,"Motilal Oswal Financial is a diversified financial services company, whichincludes broking, wealth/asset management, housing and PE",Buy, ICICI Direct,790,Motilal Oswal Financial Services,2023-04-28
"Buy Star Health and Allied Insurance Company, target price Rs 650: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-star-health-and-allied-insurance-company-target-price-rs-650-icici-direct/articleshow/99833563.cms,"Promoters held 58.28 per cent stake in the company as of 31-Mar-2023, while FIIs owned 35.24 per cent, DIIs 1.44 per cent.",Buy, ICICI Direct,650,Star Health and Allied Insurance Company,2023-04-28
"Buy SBI Life Insurance Company, target price Rs 1350: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-sbi-life-insurance-company-target-price-rs-1350-icici-direct/articleshow/99833473.cms,"SBI Life Insurance Company, incorporated in the year 2000, is a Large Cap company (having a market cap of Rs 113806.74 Crore) operating in Financial Services sector.",Buy, ICICI Direct,1350,SBI Life Insurance Company,2023-04-28
"Buy Coforge, target price Rs 4725: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-coforge-target-price-rs-4725-icici-direct/articleshow/99833103.cms,"Coforge, incorporated in the year 1992, is a Mid Cap company (having a market cap of Rs 25681.01 Crore) operating in IT Software sector.",Buy, ICICI Direct,4725,Coforge,2023-04-28
"Hold IIFL Securities, target price Rs 65: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-iifl-securities-target-price-rs-65-icici-direct/articleshow/99832756.cms,"Promoters held 31.14 per cent stake in the company as of 31-Mar-2023, while FIIs owned 16.48 per cent, DIIs 3.2 per cent.",Hold, ICICI Direct,65, IIFL Securities,2023-04-28
"Buy Mahindra & Mahindra, target price Rs 1665.: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-amp-mahindra-target-price-rs-1665-icici-direct/articleshow/99810643.cms,"The company is focused on prudent capital allocation, UV differentiation & EV proactiveness.",Buy, ICICI Direct,1665,Mahindra & Mahindra,2023-04-27
