todaymin,todaymax,todaynow,52min,52max,52now,price_change,Open,Prev. Close,Volume,Total traded value,Upper Circuit,Lower Circuit,Market Cap,ROE,P/E Ratio(TTM),EPS(TTM),P/B Ratio,Dividend Yield,Industry P/E,Book Value,Debt to Equity,Face Value,Parent Organisation,Founded,Managing Director,Symbol,name
2878.5,2924,2915.3,2553,4670,2915.3,+36.60 (1.27%) 1D,"2,885.00","2,878.70","1,83,987",53.64 Cr,"3,166.55","2,590.85","₹17,146Cr",21.93%,72.46,39.73,17.14,0.07%,18.05,187.29,0.55,2,Dixon Technologies (India) Limited,1993,Mr. Atul Lall,DIXON,Dixon Technologies (India) Ltd.
2515.15,2567,2558.6,2246,2938.6,2558.6,+49.95 (1.99%) 1D,"2,520.00","2,508.65","7,21,370",185 Cr,"2,759.50","2,257.80","₹50,133Cr",14.82%,19.18,130.83,3.16,3.29%,13.63,821.43,0.04,2,Hero MotoCorp Limited,1984,Mr. Pawan Munjal,HEROMOTOCO,Hero Motocorp Ltd.
134.2,136.4,134.95,82.5,143.4,134.95,+1.00 (0.75%) 1D,134.35,133.95,"93,49,394",126 Cr,147.30,120.55,"₹28,350Cr",11.02%,10.19,13.14,1.46,1.34%,9.14,96.11,1.26,2,Federal Bank Limited,1931,Mr. Shyam Srinivasan,FEDERALBNK,The Federal Bank Ltd.
565.5,580.45,578.3,430.7,629.55,578.3,+13.55 (2.40%) 1D,567.80,564.75,"1,61,83,423",936 Cr,621.20,508.30,"₹5,04,018Cr",12.17%,10.70,52.78,1.65,1.26%,9.14,393.27,1.65,1,State Bank of India,1955,Shri. Alok Choudhary,SBIN,State Bank of India
189.2,194,190.25,113.35,277.6,190.25,+1.05 (0.55%) 1D,192.00,189.20,"2,02,965",3.86 Cr,227.00,151.40,"₹1,184Cr",8.82%,4.34,43.60,0.52,1.32%,19.62,386.24,3.99,10,Repco Home Finance Limited,2000,Shri. Kuppuswamy Swaminathan,REPCOHOME,Repco Home Finance Ltd.
185.5,188.5,187.75,89.85,197.2,187.75,+2.00 (1.08%) 1D,185.85,185.75,"1,64,56,548",309 Cr,204.30,167.20,"₹96,058Cr",9.01%,8.22,22.60,1.05,1.53%,9.14,198.37,1.05,2,Bank of Baroda,1911,Mr. Sanjiv Chadha,BANKBARODA,Bank Of Baroda
430.9,437,436.1,308.95,508.5,436.1,+5.30 (1.23%) 1D,433.50,430.80,"49,13,550",214 Cr,473.85,387.75,"₹96,412Cr",19.62%,8.31,51.87,1.23,0.93%,12.13,405.89,0.74,1,Hindalco Industries Limited,1958,Mr. Satish Pai,HINDALCO,Hindalco Industries Ltd.
1896.1,1943.3,1938.05,1631,1997.55,1938.05,+29.45 (1.54%) 1D,"1,906.00","1,908.60","43,67,612",846 Cr,"2,099.45","1,717.75","₹3,79,673Cr",13.28%,26.59,71.78,3.90,0.06%,9.14,521.86,0.45,5,Kotak Mahindra Bank Limited,1985,Mr. Uday Kotak,KOTAKBANK,Kotak Mahindra Bank Ltd.
80.4,81.55,81.4,65.2,88.63,81.4,+0.95 (1.18%) 1D,80.95,80.45,"1,19,96,476",97.65 Cr,88.45,72.40,"₹1,13,605Cr",20.46%,18.01,4.47,0.83,10.44%,6.10,92.21,1.26,10,Indian Oil Corporation Limited,1959,NA,IOC,Indian Oil Corporation Ltd.
352.45,358.3,357.6,288.05,385.95,357.6,+1.95 (0.55%) 1D,356.00,355.65,"33,71,468",121 Cr,391.20,320.10,"₹76,906Cr",22.15%,24.80,-9.10,1.48,4.50%,6.10,216.27,1.73,10,Bharat Petroleum Corporation Limited,1952,Shri. Krishnakumar Gopalan,BPCL,Bharat Petroleum Corporation Ltd.
