0,1,2,3,4,5,6,7
1,ADF Foods Ltd.,1.66,1.58,1.51,-,1.51,24.27
2,AGI Greenpac Ltd.,2.08,1.86,1.86,1.86,1.86,43.67
3,Carysil Ltd.,6.13,-,6.14,6.14,6.14,98.73
4,DCM Shriram Industries Ltd.,2.98,2.98,2.98,2.98,2.98,17.21
5,H.G. Infra Engineering Ltd.,1.49,1.49,1.51,1.51,1.52,83.71
6,HIL Ltd.,2.64,2.72,3.05,3.13,3.12,61.34
7,Hindware Home Innovation Ltd.,3.65,3.65,4.83,4.95,4.88,125.58
8,IIFL Securities Ltd.,3.11,3.16,3.20,3.19,3.17,51.86
9,Ion Exchange (India) Ltd.,2.80,2.82,3.02,3.05,3.24,158.75
10,Mastek Ltd.,4.19,4.19,4.27,2.75,3.05,145.97
11,Polyplex Corporation Ltd.,1.37,1.37,1.37,-,-,0
12,Route Mobile Ltd.,2.82,2.80,2.84,2.69,2.58,205.69
13,Rupa & Company Ltd.,2.04,3.18,4.05,4.12,4.12,72.39
14,Sarda Energy & Minerals Ltd.,1.58,-,-,-,-,0
15,Saregama India Ltd.,1.46,1.35,1.10,-,-,0
16,Siyaram Silk Mills Ltd.,1.91,1.95,2.04,2.08,2.11,43.26
17,The Anup Engineering Ltd.,5.62,5.72,5.72,4.77,4.23,44.14
18,Xchanging Solutions Ltd.,-,-,-,-,-,0
19,Dynamatic Technologies Ltd.,2.08,2.48,2.48,2.48,2.62,51.22
20,Paras Defence And Space Technologies Ltd.,1.48,-,1.34,1.08,-,0
21,PSP Projects Ltd.,1.51,1.51,1.51,1.51,1.51,36.81
22,Rajshree Polypack Ltd.,7.72,7.81,7.81,7.62,-,0
23,Technocraft Industries (India) Ltd.,2.59,2.70,2.80,2.80,2.97,94.61
24,CMS Info Systems Ltd.,-,-,1.05,-,1.04,
25,Ethos Ltd.,-,-,1.30,-,1.30,
26,J Kumar Infraprojects Ltd.,-,-,2.65,2.65,2.65,51.01
27,Stylam Industries Ltd.,-,-,1.87,2.27,2.39,43.08
28,Jubilant Pharmova Ltd.,-,-,-,1.20,1.20,55.38
29,Tracxn Technologies Ltd.,-,-,-,1.62,1.62,
30,Dreamfolks Services Ltd.,-,-,-,-,1.82,
