title,link,time,text
"Reduce Voltas, target price Rs 795: Centrum Broking",https://economictimes.indiatimes.com/markets/stocks/recos/reduce-voltas-target-price-rs-795-centrum-broking/articleshow/99840363.cms,"Apr 28, 2023, 02:27 PM IST","Promoters held 30.3 per cent stake in the company as of 31-Mar-2023, while FIIs owned 20.58 per cent, DIIs 32.69 per cent."
"Buy Axis Bank, target price Rs 1140: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1140-bnp-paribas-securities/articleshow/99840014.cms,"Apr 28, 2023, 02:07 PM IST","Axis Bank, incorporated in the year 1993, is a banking company (having a market cap of Rs 263224.69 Crore)."
"Buy Voltas, target price Rs 1005: BNP Paribas Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-voltas-target-price-rs-1005-bnp-paribas-securities/articleshow/99839533.cms,"Apr 28, 2023, 01:52 PM IST","Promoters held 30.3 per cent stake in the company as of 31-Mar-2023, while FIIs owned 20.58 per cent, DIIs 32.69 per cent."
"Buy UTI Asset Management Company, target price Rs 770: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-uti-asset-management-company-target-price-rs-770-hdfc-securities/articleshow/99839198.cms,"Apr 28, 2023, 01:44 PM IST",The brokerage expects the company to deliver 6%/12% revenue/operating profit CAGR over FY23- 25E on the back of healthy AUM growth and marginal cost rationalisation.
"Sell Shoppers Stop, target price Rs 520: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/sell-shoppers-stop-target-price-rs-520-hdfc-securities/articleshow/99838855.cms,"Apr 28, 2023, 01:33 PM IST","Promoters held 65.46 per cent stake in the company as of 31-Mar-2023, while FIIs owned 6.82 per cent, DIIs 20.81 per cent."
"Buy Kotak Mahindra Bank, target price Rs 1936 : ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-kotak-mahindra-bank-target-price-rs-1936-icici-direct/articleshow/99836176.cms,"Apr 28, 2023, 12:05 PM IST","Promoters held 25.95 per cent stake in the company as of 31-Mar-2023, while FIIs owned 39.42 per cent, DIIs 21.08 per cent."
"Buy Mahindra & Mahindra, target price Rs 1243: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-amp-mahindra-target-price-rs-1243-icici-direct/articleshow/99835202.cms,"Apr 28, 2023, 11:30 AM IST","Price on verge of breakout after consolidating above 20 day EMA, signalingfurther upsides in coming sessions"
"Buy Infosys, target price Rs 1600: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-infosys-target-price-rs-1600-icici-direct/articleshow/99835066.cms,"Apr 28, 2023, 11:24 AM IST",Infosys key Products/Revenue Segments include Software Development Charges and Software Products for the year ending 31-Mar-2022.
"Buy Motilal Oswal Financial Services, target price Rs 790: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-motilal-oswal-financial-services-target-price-rs-790-icici-direct/articleshow/99834105.cms,"Apr 28, 2023, 11:15 AM IST","Motilal Oswal Financial is a diversified financial services company, whichincludes broking, wealth/asset management, housing and PE"
"Buy Star Health and Allied Insurance Company, target price Rs 650: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-star-health-and-allied-insurance-company-target-price-rs-650-icici-direct/articleshow/99833563.cms,"Apr 28, 2023, 10:28 AM IST","Promoters held 58.28 per cent stake in the company as of 31-Mar-2023, while FIIs owned 35.24 per cent, DIIs 1.44 per cent."
"Buy SBI Life Insurance Company, target price Rs 1350: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-sbi-life-insurance-company-target-price-rs-1350-icici-direct/articleshow/99833473.cms,"Apr 28, 2023, 10:24 AM IST","SBI Life Insurance Company, incorporated in the year 2000, is a Large Cap company (having a market cap of Rs 113806.74 Crore) operating in Financial Services sector."
"Buy Coforge, target price Rs 4725: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-coforge-target-price-rs-4725-icici-direct/articleshow/99833103.cms,"Apr 28, 2023, 10:17 AM IST","Coforge, incorporated in the year 1992, is a Mid Cap company (having a market cap of Rs 25681.01 Crore) operating in IT Software sector."
"Hold IIFL Securities, target price Rs 65: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-iifl-securities-target-price-rs-65-icici-direct/articleshow/99832756.cms,"Apr 28, 2023, 09:58 AM IST","Promoters held 31.14 per cent stake in the company as of 31-Mar-2023, while FIIs owned 16.48 per cent, DIIs 3.2 per cent."
"Buy Mahindra & Mahindra, target price Rs 1665.: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-amp-mahindra-target-price-rs-1665-icici-direct/articleshow/99810643.cms,"Apr 27, 2023, 02:18 PM IST","The company is focused on prudent capital allocation, UV differentiation & EV proactiveness."
"Hold Bajaj Auto, target price Rs 4530: ICICI Direct",https://economictimes.indiatimes.com/markets/stocks/recos/hold-bajaj-auto-target-price-rs-4530-icici-direct/articleshow/99810406.cms,"Apr 27, 2023, 01:57 PM IST","Bajaj Auto, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 123416.10 Crore) operating in Auto sector."
"Buy Maruti Suzuki India, target price Rs 10214: HDFC Securities",https://economictimes.indiatimes.com/markets/stocks/recos/buy-maruti-suzuki-india-target-price-rs-10214-hdfc-securities/articleshow/99810148.cms,"Apr 27, 2023, 01:47 PM IST","Maruti Suzuki India, incorporated in the year 1981, is a Large Cap company (having a market cap of Rs 257381.27 Crore) operating in Auto sector."
,https://economictimes.indiatimes.com/markets/stocks/recos/buy-mahindra-lifespace-developers-target-price-rs-521-hdfc-securities/articleshow/99809177.cms,"Apr 27, 2023, 01:08 PM IST","Promoters held 51.28 per cent stake in the company as of 31-Mar-2023, while FIIs owned 11.3 per cent, DIIs 19.43 per cent."
